1, 33.515588
2, 18.535644
3, 13.719229
4, 10.983926
5, 9.168785
6, 7.864990
7, 7.169081
8, 6.714618
9, 6.330761
10, 5.982766
11, 5.735272
12, 5.538415
13, 5.289978
14, 5.147215
15, 4.990429
16, 4.851464
17, 4.753821
18, 4.636571
19, 4.538689
20, 4.459091
21, 4.355750
22, 4.287545
23, 4.199830
24, 4.112214
25, 4.028311
26, 3.998508
27, 3.916330
28, 3.874402
29, 3.794714
30, 3.733024
31, 3.691183
32, 3.649994
33, 3.608334
34, 3.542471
35, 3.759104
36, 8.520840
37, 6.608600
38, 4.647352
39, 4.203514
40, 3.963995
41, 3.786662
42, 3.670961
43, 3.606131
44, 3.511009
45, 3.441769
46, 3.399014
47, 3.335903
48, 3.310033
49, 3.266581
50, 3.225600
51, 3.171773
52, 3.149131
53, 3.116201
54, 3.092668
55, 3.067994
56, 3.010687
57, 2.988651
58, 2.965511
59, 2.944515
60, 2.915035
61, 2.899957
62, 2.857816
63, 2.841761
64, 2.856684
65, 2.826667
66, 2.803490
67, 2.757513
68, 2.750413
69, 2.727494
70, 2.716240
71, 2.682140
72, 2.687430
73, 2.669369
74, 2.669476
75, 2.644057
76, 2.598474
77, 2.609610
78, 2.573568
79, 2.538874
80, 2.569793
81, 2.562497
82, 2.529579
83, 2.516466
84, 2.505168
85, 2.493382
86, 2.479245
87, 2.462322
88, 2.462893
89, 2.457274
90, 2.444934
91, 2.407161
92, 2.400132
93, 2.389986
94, 2.381803
95, 2.357563
96, 2.358569
97, 2.374551
98, 2.347298
99, 2.335281
100, 2.338684
101, 2.307753
102, 2.295078
103, 2.296594
104, 2.289750
105, 2.287763
106, 2.284597
107, 2.261993
108, 2.241216
109, 2.243642
110, 2.217835
111, 2.227297
112, 2.272476
113, 2.230584
114, 2.182543
115, 2.166856
116, 2.151454
117, 2.182055
118, 2.162460
119, 2.153455
120, 2.154812
121, 2.142721
122, 2.131188
123, 2.159424
124, 2.169660
125, 2.155525
126, 2.114343
127, 2.084769
128, 2.083794
129, 2.084614
130, 2.100956
131, 2.069272
132, 2.115964
133, 2.131504
134, 2.071688
135, 2.048761
136, 2.038260
137, 2.071566
138, 2.028673
139, 1.998334
140, 2.030234
141, 2.022294
142, 1.998438
143, 2.019608
144, 2.000509
145, 1.982569
146, 1.989723
147, 1.990566
148, 1.973245
149, 1.994593
150, 2.013896
151, 2.003756
152, 2.016717
153, 1.972109
154, 1.945419
155, 1.974144
156, 2.066748
157, 1.995553
158, 1.969483
159, 1.992088
160, 1.998844
161, 1.949143
162, 1.916549
163, 1.917467
164, 1.898789
165, 1.894233
166, 1.885648
167, 1.882743
168, 1.886572
169, 1.898552
170, 1.893259
171, 1.899524
172, 1.883268
173, 1.865565
174, 1.867070
175, 1.861927
176, 1.848415
177, 1.853313
178, 1.861897
179, 1.866608
180, 1.868406
181, 1.843861
182, 1.905964
183, 1.958872
184, 1.863065
185, 1.821011
186, 1.827641
187, 1.806034
188, 1.804543
189, 1.814259
190, 1.794696
191, 1.836354
192, 1.808835
193, 1.800697
194, 1.804213
195, 1.804830
196, 1.786324
197, 1.780685
198, 1.770431
199, 1.787645
200, 1.791061
