1, 23.778993
2, 19.133422
3, 17.171554
4, 16.924961
5, 15.867810
6, 14.980096
7, 14.163896
8, 13.529390
9, 12.993684
10, 12.564868
11, 12.097739
12, 11.835516
13, 11.618455
14, 11.256857
15, 11.044958
16, 10.933492
17, 10.712898
18, 10.692505
19, 10.561734
20, 10.293784
21, 10.202254
22, 10.071786
23, 9.894316
24, 9.792561
25, 9.636190
26, 9.603661
27, 9.524129
28, 9.424268
29, 9.247541
30, 9.215163
31, 9.071760
32, 8.996071
33, 8.972119
34, 8.788421
35, 8.711206
36, 8.706915
37, 8.692244
38, 8.698451
39, 8.482573
40, 8.428653
41, 8.402415
42, 8.293855
43, 8.269710
44, 8.171803
45, 8.141915
46, 8.100023
47, 7.987153
48, 7.901631
49, 7.902058
50, 7.849825
51, 7.739132
52, 7.789691
53, 7.675207
54, 7.673843
55, 7.613394
56, 7.634793
57, 7.498310
58, 7.471170
59, 7.404923
60, 7.553104
61, 7.366099
62, 7.351065
63, 7.321948
64, 7.364328
65, 7.212471
66, 7.180292
67, 7.133392
68, 7.085265
69, 7.092577
70, 7.081174
71, 7.074226
72, 7.054405
73, 6.974332
74, 6.988794
75, 6.893702
76, 6.951737
77, 6.833219
78, 6.850383
79, 6.787330
80, 6.802255
81, 6.675736
82, 6.716835
83, 6.725208
84, 6.604787
85, 6.612712
86, 6.571945
87, 6.561304
88, 6.540532
89, 6.549871
90, 6.561686
91, 6.472198
92, 6.455400
93, 6.376685
94, 6.366319
95, 6.405755
96, 6.379033
97, 6.361005
98, 6.341766
99, 6.294682
100, 6.258012
101, 6.258465
102, 6.288827
103, 6.193278
104, 6.191640
105, 6.142616
106, 6.135615
107, 6.098112
108, 6.115192
109, 6.117346
110, 6.089981
111, 6.038607
112, 6.095598
113, 6.059663
114, 6.005203
115, 5.976915
116, 5.991817
117, 5.957650
118, 5.994491
119, 5.859482
120, 5.888559
121, 5.904649
122, 5.911983
123, 5.812024
124, 5.833270
125, 5.903351
126, 5.833611
127, 5.858677
128, 5.792343
129, 5.850765
130, 5.829748
131, 5.798552
132, 5.744553
133, 5.680925
134, 5.650410
135, 5.653739
136, 5.652466
137, 5.687990
138, 5.672200
139, 5.592538
140, 5.608059
141, 5.586173
142, 5.563831
143, 5.563263
144, 5.558513
145, 5.543292
146, 5.547068
147, 5.530019
148, 5.563152
149, 5.552353
150, 5.476465
151, 5.469314
152, 5.446006
153, 5.467131
154, 5.409215
155, 5.405307
156, 5.359375
157, 5.352490
158, 5.416655
159, 5.397669
160, 5.337210
161, 5.332364
162, 5.308996
163, 5.303648
164, 5.332010
165, 5.311202
166, 5.295130
167, 5.250595
168, 5.257404
169, 5.223241
170, 5.252425
171, 5.242135
172, 5.213377
173, 5.231181
174, 5.229515
175, 5.225479
176, 5.177444
177, 5.149415
178, 5.114397
179, 5.131264
180, 5.182503
181, 5.155480
182, 5.117661
183, 5.196604
184, 5.149506
185, 5.109295
186, 5.049422
187, 5.050061
188, 5.046242
189, 5.081820
190, 5.042753
191, 5.036521
192, 5.086904
193, 5.059131
194, 5.013629
195, 4.962221
196, 5.012662
197, 4.968649
198, 4.947797
199, 4.985195
200, 4.900393
