実行ディレクトリ : /work/my_research/step3/results/phase2_20260616_004705
デバイス         : cuda
Phase            : 2 (MG 専用訓練、SM frozen)
基盤モデル       : /work/data/result/exp1_l1/0/model/00200.pth
A-2 行動         : MultiPrefAgent (4 選好、エピソードごとランダム)
マスク戦略       : step>0 → p_mask=1.0 (self & other)
学習方式         : BPTT (エピソード全体で loss 積算、1回 backward)
LR_MG            : 0.001  (AdamW, weight_decay=0.01)
再開 checkpoint  : /work/my_research/step3/results/phase2_20260615_193019/model_phase2.pth
EPISODES         : 5000
MAX_STEPS        : 100

チェックポイントから再開: /work/my_research/step3/results/phase2_20260615_193019/model_phase2.pth

パラメータ数:
  frozen (SM 等) : 457,427
  trainable (MG) : 99,586

=== Phase 2 学習開始 ===

Episode  3900/5000 | Loss=0.68778 | MG_L2=2.4993 | r=(0.393,0.354) | pref=[Blue:985 Cyan:940 Green:1011 Red:964]
Episode  4000/5000 | Loss=0.67073 | MG_L2=2.4905 | r=(0.367,0.354) | pref=[Blue:1004 Cyan:965 Green:1046 Red:985]
Episode  4100/5000 | Loss=0.69825 | MG_L2=2.4937 | r=(0.490,0.361) | pref=[Blue:1030 Cyan:991 Green:1071 Red:1008]
Episode  4200/5000 | Loss=0.70362 | MG_L2=2.4806 | r=(0.405,0.394) | pref=[Blue:1058 Cyan:1017 Green:1094 Red:1031]
Episode  4300/5000 | Loss=0.68857 | MG_L2=2.4836 | r=(0.440,0.350) | pref=[Blue:1082 Cyan:1041 Green:1120 Red:1057]
Episode  4400/5000 | Loss=0.71965 | MG_L2=2.4766 | r=(0.470,0.386) | pref=[Blue:1109 Cyan:1071 Green:1137 Red:1083]
Episode  4500/5000 | Loss=0.68004 | MG_L2=2.4717 | r=(0.440,0.397) | pref=[Blue:1131 Cyan:1092 Green:1166 Red:1111]
Episode  4600/5000 | Loss=0.68713 | MG_L2=2.4681 | r=(0.382,0.323) | pref=[Blue:1150 Cyan:1118 Green:1194 Red:1138]
Episode  4700/5000 | Loss=0.67551 | MG_L2=2.4543 | r=(0.438,0.357) | pref=[Blue:1170 Cyan:1138 Green:1221 Red:1171]
Episode  4800/5000 | Loss=0.67897 | MG_L2=2.4644 | r=(0.512,0.320) | pref=[Blue:1192 Cyan:1163 Green:1253 Red:1192]
Episode  4900/5000 | Loss=0.67162 | MG_L2=2.4618 | r=(0.287,0.344) | pref=[Blue:1223 Cyan:1179 Green:1282 Red:1216]
Episode  5000/5000 | Loss=0.69608 | MG_L2=2.4650 | r=(0.515,0.355) | pref=[Blue:1248 Cyan:1202 Green:1305 Red:1245]

学習完了。保存: /work/my_research/step3/results/phase2_20260616_004705/model_phase2.pth
最終平均 Loss : 0.696076
選好分布      : {'Cyan': 1202, 'Blue': 1248, 'Green': 1305, 'Red': 1245}
